"","tempvect","nichevect","Div","Pruned_Prot"
"302",1,-3.56304903519124,"4",2
"303",2,-3.60058088253448,"4",2
"304",3,-3.62968002082458,"4",2
"305",4,-3.65276547138552,"4",2
"306",5,-3.67151724220741,"4",2
"307",0,-3.54736605086241,"3",1
"308",1,-3.59617257436172,"3",1
"309",2,-3.63333068192311,"3",1
"310",3,-3.66223920519867,"3",1
"311",4,-3.68527171868923,"3",1
"312",5,-3.70406628815033,"3",1
"313",0,-3.564760796348,"2",4
"314",1,-3.61317670182298,"2",4
"315",2,-3.65006331880682,"2",4
"316",3,-3.67879792156187,"2",4
"317",4,-3.70173535911006,"2",4
"318",5,-3.72048401805623,"2",4
"319",0,-3.564760796348,"1",1
"320",1,-3.61317670182298,"1",1
"321",2,-3.65006331880682,"1",1
"322",3,-3.67879792156187,"1",1
"323",4,-3.70173535911006,"1",1
"324",5,-3.72048401805623,"1",1
"325",0,-3.3033813318835,"6",NA
"326",1,-3.35465911321074,"6",NA
"327",2,-3.39369593382395,"6",NA
"328",3,-3.42397561657049,"6",NA
"329",4,-3.44798494850302,"6",NA
"330",5,-3.46746925250104,"6",NA
"331",0,-3.32576674250233,"5",2
"332",1,-3.37661041935189,"5",2
"333",2,-3.41534619198821,"5",2
"334",3,-3.44544406095337,"5",2
"335",4,-3.46936370671417,"5",2
"336",5,-3.4888245578462,"5",2
"337",0,-3.35130515975211,"4",6
"338",1,-3.40165918668182,"4",6
"339",2,-3.44006400736559,"4",6
"340",3,-3.46996948640275,"4",6
"341",4,-3.49380328316814,"4",6
"342",5,-3.51325050086227,"4",6
"343",0,-3.3662315190821,"3",4
"344",1,-3.41624456599407,"3",4
"345",2,-3.45440785486642,"3",4
"346",3,-3.48415636535114,"3",4
"347",4,-3.50789742554487,"3",4
"348",5,-3.52729820826568,"3",4
"349",0,-3.37658798779775,"2",1
"350",1,-3.42634676004725,"2",1
"351",2,-3.4643267828745,"2",1
"352",3,-3.49395207207653,"2",1
"353",4,-3.51761537470621,"2",1
"354",5,-3.5369698894407,"2",1
"355",0,-Inf,"1",3
"356",1,-Inf,"1",3
"357",2,-Inf,"1",3
"358",3,-Inf,"1",3
"359",4,-Inf,"1",3
"360",5,-Inf,"1",3
"361",0,-2.97240436304533,"6",NA
"362",1,-3.02841995894603,"6",NA
"363",2,-3.07152466912945,"6",NA
"364",3,-3.10530846584109,"6",NA
"365",4,-3.13235578809359,"6",NA
"366",5,-3.15450413124024,"6",NA
"367",0,-3.0086007066782,"5",6
"368",1,-3.06404012274822,"5",6
"369",2,-3.10677383068154,"5",6
"370",3,-3.14037157101629,"5",6
"371",4,-3.16738072854843,"5",6
