"","tempvect","minvect","maxvect","Div","MaxSeed","MinSeed","Pruned_Prot"
"2255",4,-4.66318614676573,-2.02849681271287,3,952584,33102,4
"2256",5,-4.6963713420741,-2.04144979266276,3,952584,33102,4
"2257",0,-4.16943482939028,-1.86367978726577,2,952584,33102,2
"2258",1,-4.22152201642375,-1.94338912973645,2,952584,33102,2
"2259",2,-4.26148070629122,-2.00085866299599,2,952584,33102,2
"2260",3,-4.29281032627341,-2.04005424007125,2,952584,33102,2
"2261",4,-4.31796440593417,-2.06467657593601,2,952584,33102,2
"2262",5,-4.33862701421774,-2.07806982202215,2,952584,33102,2
"2263",0,-3.95968964604151,-1.81877870509636,1,952584,33102,1
"2264",1,-4.00659152156027,-1.90244445796228,1,952584,33102,1
"2265",2,-4.04224104503347,-1.9686813515819,1,952584,33102,1
"2266",3,-4.06996224412018,-2.02084778468776,1,952584,33102,1
"2267",4,-4.09205875066571,-2.06170845370854,1,952584,33102,1
"2268",5,-4.1101049079974,-2.09352645598352,1,952584,33102,1
"2269",0,-3.17220994627322,-1.9617592246335,6,78973,937110,NA
"2270",1,-3.23276003393179,-2.03000314146571,6,78973,937110,NA
"2271",2,-3.27901598940608,-2.08078305147018,6,78973,937110,NA
"2272",3,-3.31460639903226,-2.11762284150225,6,78973,937110,NA
"2273",4,-3.34232585237639,-2.14389787098242,6,78973,937110,NA
"2274",5,-3.3642707181363,-2.16259853797916,6,78973,937110,NA
"2275",0,-3.17901724832933,-2.07634729126974,5,78973,937110,4
"2276",1,-3.23933304891141,-2.15689761817309,5,78973,937110,4
"2277",2,-3.2853625737326,-2.21824700051566,5,78973,937110,4
"2278",3,-3.32073993825759,-2.26398504350655,5,78973,937110,4
"2279",4,-3.34826151123101,-2.29746819981031,5,78973,937110,4
"2280",5,-3.3700241218769,-2.32165933861191,5,78973,937110,4
"2281",0,-3.20358445317197,-2.09191784183634,4,78973,937110,3
"2282",1,-3.26321387703872,-2.17647454694018,4,78973,937110,3
"2283",2,-3.30855950625142,-2.24302550637398,4,78973,937110,3
"2284",3,-3.34327752141926,-2.29521521754303,4,78973,937110,3
"2285",4,-3.37017447037514,-2.33619491784175,4,78973,937110,3
"2286",5,-3.39135026310584,-2.36858136314187,4,78973,937110,3
"2287",0,-3.1591496221923,-2.0155856221339,3,78973,937110,2
"2288",1,-3.21053118250573,-2.09488301213688,3,78973,937110,2
"2289",2,-3.24974273291522,-2.15709610135768,3,78973,937110,2
"2290",3,-3.28025992560403,-2.20588515651497,3,78973,937110,2
"2291",4,-3.30455088348027,-2.24430144694444,3,78973,937110,2
"2292",5,-3.32434363342934,-2.27481174859656,3,78973,937110,2
"2293",0,-3.13428847055791,-1.95409378462,2,78973,937110,5
"2294",1,-3.18309793641241,-2.03015014281845,2,78973,937110,5
"2295",2,-3.22027275925342,-2.089936046748,2,78973,937110,5
"2296",3,-3.24920297503713,-2.13703111074106,2,78973,937110,5
"2297",4,-3.27225983353896,-2.17433222802348,2,78973,937110,5
"2298",5,-3.29108143188312,-2.20413923151597,2,78973,937110,5
"2299",0,-3.15496911146336,-1.99451377404297,1,78973,937110,1
"2300",1,-3.20332488595582,-2.07115049255254,1,78973,937110,1
"2301",2,-3.24018780191295,-2.13351863150659,1,78973,937110,1
"2302",3,-3.26892285532305,-2.18514286808489,1,78973,937110,1
"2303",4,-3.29187735708837,-2.22868997354355,1,78973,937110,1
"2304",5,-3.31065549068527,-2.26614432337003,1,78973,937110,1
"2305",0,-3.2694926763339,-1.93975572201131,6,27649,921210,NA
